Player,MP,Starts,Min,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
Aaron Ramsdale,27,27,2430.0,42,131,93,7,6,14,4,4,4,0,0
Adrián,29,27,2493.0,38,120,84,15,6,6,8,1,1,0,0
Alex McCarthy,61,61,5490.0,96,257,168,16,18,27,12,4,4,0,0
Alisson,58,58,5154.0,33,152,119,48,8,2,31,1,0,0,1
Angus Gunn,22,22,1980.0,43,101,60,6,6,10,5,3,2,1,0
Artur Boruc,12,12,1080.0,18,52,36,4,3,5,4,3,3,0,0
Asmir Begović,62,62,5580.0,108,273,171,19,14,29,11,6,4,1,1
Ben Foster,103,103,9270.0,157,444,298,26,29,48,26,12,11,1,0
Ben Hamer,11,10,828.0,28,50,27,0,2,8,2,4,4,0,0
Bernd Leno,59,58,5265.0,78,269,202,24,20,14,13,13,12,1,0
Boaz Myhill,1,1,90.0,1,3,2,0,1,0,0,0,0,0,0
Claudio Bravo,7,5,572.0,8,20,12,4,0,1,2,0,0,0,0
Darren Randolph,2,2,180.0,5,9,5,0,1,1,0,1,1,0,0
David Button,4,4,360.0,5,15,12,1,1,2,1,2,2,0,0
David Martin,5,4,435.0,6,20,14,2,0,2,2,0,0,0,0
David Ospina,5,4,381.0,3,14,11,3,0,1,2,0,0,0,0
David de Gea,103,103,9270.0,112,407,308,54,24,25,32,8,8,0,0
Dean Henderson,26,26,2340.0,22,88,66,10,9,7,9,2,0,1,1
Ederson,98,98,8695.0,71,220,155,78,9,11,45,9,6,2,1
Eldin Jakupović,2,2,180.0,6,13,8,1,0,1,0,0,0,0,0
Fabricio,2,2,180.0,5,23,18,0,0,2,0,0,0,0,0
Fraser Forster,21,21,1890.0,33,101,69,4,7,10,4,1,0,1,0
Heurelho Gomes,24,24,2128.0,40,98,62,7,5,12,5,3,3,0,0
Hugo Lloris,80,80,7118.0,81,294,221,49,11,20,29,10,6,4,0
Jack Butland,35,35,3150.0,61,199,145,7,11,17,6,5,5,0,0
Jed Steer,1,1,8.0,0,0,0,0,0,1,0,0,0,0,0
Joe Hart,38,38,3420.0,80,205,131,6,9,23,8,7,5,2,0
Joel Coleman,1,1,90.0,1,3,1,0,1,0,0,0,0,0,0
John Ruddy,1,1,90.0,0,3,3,1,0,0,1,0,0,0,0
Jonas Lössl,69,68,6197.0,111,291,188,12,15,41,15,11,8,3,0
Jordan Pickford,104,104,9360.0,146,410,274,38,26,40,30,11,6,4,1
Julián Speroni,12,12,1080.0,18,51,34,3,5,4,2,1,1,0,0
Karl Darlow,10,10,900.0,15,45,35,1,5,4,2,3,3,0,0
Kasper Schmeichel,99,99,8905.0,123,377,266,41,22,36,27,14,11,3,0
Kepa Arrizabalaga,60,60,5400.0,71,186,119,32,12,16,19,4,3,1,0
Lee Grant,3,3,270.0,7,14,7,0,1,2,1,0,0,0,0
Loris Karius,19,19,1710.0,14,42,30,11,5,3,10,3,2,1,0
Marcus Bettinelli,7,7,630.0,20,38,19,1,2,4,0,3,1,1,1
Mark Travers,3,3,270.0,8,18,11,1,0,2,1,0,0,0,0
Martin Dúbravka,78,78,7020.0,100,322,229,26,18,34,23,7,6,1,0
Mathew Ryan,100,100,9000.0,149,438,307,23,31,46,21,13,11,2,0
Michael McGovern,2,1,158.0,6,11,5,0,0,1,0,1,0,1,0
Michel Vorm,3,3,270.0,5,17,13,0,1,2,0,0,0,0,0
Neil Etheridge,38,38,3420.0,69,201,135,10,4,24,10,7,4,3,0
Nick Pope,63,62,5635.0,74,270,201,24,16,23,22,8,5,2,1
Orestis Karnezis,15,14,1292.0,24,52,31,4,3,7,4,3,3,0,0
Paulo Gazzaniga,22,21,1972.0,28,95,70,8,5,8,4,4,3,1,0
Pepe Reina,5,5,450.0,9,28,19,1,1,3,0,1,0,1,0
Petr Čech,41,41,3624.0,57,165,113,21,6,14,13,6,5,1,0
Ralf Fährmann,1,1,22.0,1,1,1,0,0,1,0,1,1,0,0
Rob Elliot,16,16,1440.0,21,62,43,5,2,9,3,2,1,1,0
Roberto,8,7,686.0,17,51,36,0,1,6,0,1,1,0,0
Rui Patrício,65,65,5850.0,80,239,165,25,21,19,15,6,3,2,1
Sergio Rico,29,29,2610.0,56,161,110,6,3,20,5,4,4,0,0
Sergio Romero,1,1,90.0,0,4,4,1,0,0,1,0,0,0,0
Simon Mignolet,19,19,1710.0,24,57,35,10,7,2,7,3,2,1,0
Simon Moore,1,1,90.0,3,5,2,0,1,0,0,0,0,0,0
Thibaut Courtois,35,35,3150.0,34,105,75,20,6,9,15,2,2,0,0
Tim Krul,26,26,2340.0,44,129,87,5,6,15,5,5,3,2,0
Tom Heaton,43,43,3810.0,66,194,135,15,8,19,8,4,4,0,0
Vicente Guaita,46,46,4095.0,51,191,142,19,12,15,15,2,1,0,1
Wayne Hennessey,47,46,4185.0,71,208,143,12,10,24,12,5,4,1,0
Will Norris,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0
Willy Caballero,9,9,810.0,11,29,19,3,4,2,3,0,0,0,0
Ørjan Nyland,3,1,177.0,8,15,7,0,0,1,0,0,0,0,0
Łukasz Fabiański,91,91,8059.0,132,443,322,28,20,43,20,15,9,5,1
